pickup_datetime,trip_miles,trip_time,base_passenger_fare,distance_bin,log_fare,log_miles,log_time,log_miles_long,log_time_long,long_dummy,log_miles_interact,log_time_interact
17/01/2025 08:20,1.8,13.41666667,14.27,0-2 mi,2.658159432,0.587786665,2.596497715,0,0,0,0,0
08/01/2025 15:01,2.38,14.48333333,14.87,2-5 mi,2.699345761,0.867100488,2.672998563,0,0,0,0,0
12/01/2025 00:33,1.843,10.35,13.38,0-2 mi,2.593761055,0.611394679,2.33698652,0,0,0,0,0
03/01/2025 13:01,4.55,13.86666667,20.53,2-5 mi,3.021887231,1.515127233,2.629487879,0,0,0,0,0
05/01/2025 00:29,2.2,13.51666667,18.16,2-5 mi,2.899221373,0.78845736,2.603923492,0,0,0,0,0
31/01/2025 13:35,2.7,18.1,19.86,2-5 mi,2.988707659,0.993251773,2.895911938,0,0,0,0,0
23/01/2025 00:02,1.67,8.766666667,10.07,0-2 mi,2.309560707,0.512823626,2.170956651,0,0,0,0,0
16/01/2025 06:52,1.122,5.4,10.62,0-2 mi,2.362739016,0.115112807,1.686398954,0,0,0,0,0
07/01/2025 08:35,0.485,3.9,6.78,0-2 mi,1.913977102,-0.723606388,1.360976553,0,0,0,0,0
18/01/2025 18:47,3.8,13.35,16.05,2-5 mi,2.77570885,1.335001067,2.591516385,0,0,0,0,0
03/01/2025 18:37,2.321,15.38333333,15.39,2-5 mi,2.733717948,0.841998127,2.733284672,0,0,0,0,0
18/01/2025 14:30,2.22,9.933333333,11.6,2-5 mi,2.451005098,0.797507196,2.295896105,0,0,0,0,0
17/01/2025 04:05,2.57,11.53333333,15.17,2-5 mi,2.719319793,0.943905899,2.445241393,0,0,0,0,0
29/01/2025 14:37,2.29,17.28333333,20.92,2-5 mi,3.040705639,0.828551818,2.849742646,0,0,0,0,0
09/01/2025 08:50,1.96,6.216666667,15.22,0-2 mi,2.722610352,0.672944473,1.827233857,0,0,0,0,0
17/01/2025 18:11,2.163,13.05,18.01,2-5 mi,2.890927159,0.771496147,2.568788134,0,0,0,0,0
22/01/2025 19:21,4.59,12.65,24.85,2-5 mi,3.212857753,1.523880024,2.537657215,0,0,0,0,0
31/01/2025 14:31,0.64,3.65,7.39,0-2 mi,2.000127735,-0.446287103,1.294727168,0,0,0,0,0
10/01/2025 18:41,1.376,6.916666667,10.66,0-2 mi,2.366498419,0.31918074,1.933933958,0,0,0,0,0
11/01/2025 23:56,2.3,13.35,29.47,2-5 mi,3.383372797,0.832909123,2.591516385,0,0,0,0,0
29/01/2025 13:07,2.97,11.11666667,14.72,2-5 mi,2.689207113,1.088561953,2.408445484,0,0,0,0,0
27/01/2025 17:36,3.91,16.73333333,17.69,2-5 mi,2.872999508,1.363537374,2.817402738,0,0,0,0,0
14/01/2025 06:18,2.19,9.666666667,9.53,2-5 mi,2.254444718,0.783901544,2.268683541,0,0,0,0,0
27/01/2025 21:23,2.87,10.26666667,13.96,2-5 mi,2.636196097,1.05431203,2.328902401,0,0,0,0,0
16/01/2025 15:00,4.31,11.81666667,20.76,2-5 mi,3.033028058,1.460937904,2.469510964,0,0,0,0,0
16/01/2025 16:46,2.54,15.15,15.12,2-5 mi,2.716018371,0.932164081,2.718000532,0,0,0,0,0
17/01/2025 07:20,0.76,3.15,9.82,0-2 mi,2.284421122,-0.274436846,1.147402453,0,0,0,0,0
09/01/2025 08:16,0.874,7.466666667,8.67,0-2 mi,2.159868791,-0.134674903,2.01044867,0,0,0,0,0
25/01/2025 16:57,3.91,24.21666667,27.28,2-5 mi,3.306153833,1.363537374,3.187041101,0,0,0,0,0
17/01/2025 17:37,2.88,26.76666667,22.49,2-5 mi,3.113070766,1.057790294,3.287157332,0,0,0,0,0
20/01/2025 19:49,3.225,11.33333333,21.26,2-5 mi,3.056827373,1.17093295,2.427748236,0,0,0,0,0
28/01/2025 08:35,1.24,5.033333333,8.36,0-2 mi,2.123458427,0.21511138,1.616082455,0,0,0,0,0
17/01/2025 15:57,2.36,17.05,16.67,2-5 mi,2.813610697,0.858661619,2.836150204,0,0,0,0,0
10/01/2025 21:02,2.33,18.65,30.45,2-5 mi,3.416085994,0.845868268,2.925846146,0,0,0,0,0
10/01/2025 18:02,0.74,7.433333333,9.18,0-2 mi,2.217027205,-0.301105093,2.00597439,0,0,0,0,0
26/01/2025 12:00,2.08,8.75,11.41,2-5 mi,2.434490164,0.732367894,2.1690537,0,0,0,0,0
24/01/2025 00:52,1.64,11.11666667,22.73,0-2 mi,3.123685638,0.494696242,2.408445484,0,0,0,0,0
20/01/2025 09:14,1.18,7.866666667,8.57,0-2 mi,2.148267733,0.165514439,2.062634423,0,0,0,0,0
31/01/2025 20:36,1.02,10.63333333,11.76,0-2 mi,2.464703943,0.019802627,2.363993721,0,0,0,0,0
12/01/2025 00:30,2.98,18.91666667,17.56,2-5 mi,2.865623588,1.091923301,2.940043368,0,0,0,0,0
